GEO,COUNTRY,AVG_WEEKLY_WORKING_HOURS,MEAN_NET_INCOME,MEDIAN_NET_INCOME,GENDER_PAY_GAP,INABILITY_UNEXPECTED_EXPENSES,WORKING_HOME,USUALLY_WORKING_EVENING,USUALLY_WORKING_SUNDAYS,USUALLY_WORKING_SATURDAYS,FINANTIAL_SITUATION_RATING,LONG_WORKING_HOURS,AVG_JOB_SATISFACTION
AT,Austria,36.7,27804,25176,20.4,20.1,21.9,11.5,15,27.4,7.3,11,8
BE,Belgium,37.3,25196,23686,5.8,24.5,22.7,9.9,12,22.2,7,9.3,7.5
BG,Bulgaria,40.7,4644,3590,13.9,32.1,0.9,11.1,7.8,17.5,4.3,1.3,6.4
CH,Switzerland,35.3,49607,43013,18.6,20.4,,16.3,16.8,29.8,7.2,4,7.9
CY,Cyprus,39.4,17582,15336,10.4,49.5,2.1,11.3,14.7,31.1,6.1,10.7,7.3
CZ,Czechia,40.4,10098,9088,20.1,23.7,9.4,9.7,11.3,15.9,6.7,11.4,7.4
DE,Germany,35.4,25882,22713,20.1,28.1,11.6,18.7,12.9,24.6,6.8,7.2,7
DK,Denmark,33.7,33759,30104,14.6,25.2,28.8,16.1,13.6,15.5,7.6,4.7,7.6
EE,Estonia,38.6,11746,10524,21.8,34.7,19.5,20.9,16.2,20.7,5.9,3.6,7.6
EL,Greece,42,9034,7863,10.4,50.4,5.1,38.6,16.8,41.9,5.2,17.2,6.2
ES,Spain,37.7,16937,14785,11.9,35.9,7.5,20,17.9,31.2,6.3,8,7.3
FI,Finland,37.2,27389,24544,16.9,27.2,29.7,22.5,17.1,23.9,7.6,7.5,8.1
FR,France,37.4,25379,22220,16.7,31.4,20.8,4.7,14.7,29.4,6.6,11.9,7.3
HR,Croatia,39.7,7371,6659,11.4,52.9,6.7,4.2,6.4,13.8,5.2,6.2,7
HU,Hungary,39.7,6123,5424,14.2,33.3,6,11.7,6.1,8.7,5.5,3.2,7.1
IE,Ireland,36.5,28630,24920,11.3,37.3,19.4,14.2,21,32.7,7.2,9.8,7.8
IS,Iceland,39.4,43769,39918,13.8,25.8,4.8,16.6,16.7,18.7,7.2,17.1,8.1
IT,Italy,37.3,19208,16844,5.5,35.1,4.6,16.5,15.3,35.7,6.4,10.5,7.2
LT,Lithuania,38.9,8415,6895,14,48.8,28.5,9.9,9.6,16.4,5.2,0.7,7
LU,Luxembourg,37.7,40075,34472,1.4,19.7,4.8,14.1,10.6,16.6,6.9,4.1,7.3
LV,Latvia,39,8738,7333,19.6,55.3,7.9,8,10.9,18.9,5.4,2.3,7.4
MT,Malta,39.1,16749,14781,13,13.9,9.8,12.1,15,26.6,6.8,8.3,7.5
NL,Netherlands,30.7,26848,24016,14.7,21.5,36.9,31.7,20.9,30.1,7.4,4.6,7.5
NO,Norway,34,42203,39438,13.2,19.7,,15.1,10.6,16.8,7.6,2.9,8.1
PL,Poland,40.6,7337,6574,8.5,31.7,13.9,7.3,5.7,12.2,6.3,11,7.3
PT,Portugal,40,11063,9346,8.9,34.7,14.7,9.4,4.8,8.1,5.4,10.4,7.1
RO,Romania,39.8,3825,3284,2.2,45.9,0.7,14.5,13.2,26.1,6.6,2,7.2
RS,Serbia,43,3040,2739,,39.8,5.7,29.9,24.2,40.6,4.4,8.1,6.2
SE,Sweden,36.9,27703,25540,12.1,20.2,33.2,13.8,12.5,14.4,7.6,4.1,7.7
SI,Slovenia,39.4,14127,13244,9.3,33.1,17.9,20.4,12.6,19.1,6.3,7.2,7.5
SK,Slovakia,40.1,7870,7462,19.8,31.5,9,23.6,16.3,20.9,6,9,7.1
TR,Turkiye,45.9,4914,3499,,30.4,3,15.5,26.6,53.4,4.9,32.4,6.2
UK,United Kingdom,36.9,25642,21464,19.8,34.6,23.9,10.6,17.9,27.1,7.1,13.7,7.2
